081602001,Bagaimanakah Iblis menipu Nabi Adam dan Hawa?,Dengan menunjukkan kepada mereka pohon yang membawa kehidupan kekal,Dengan memberikan nasihat yang jujur dan baik,Dengan memperingatkan mereka tentang larangan Allah,Dengan menyatakan kebenaran tentang akibat memakan buah dari pohon itu
091602001,Apa yang berlaku setelah Nabi Adam dan Hawa melakukan larangan Allah?,Mereka diusir dari syurga dan turun ke bumi,Mereka dinaungi oleh Iblis untuk meminta pengampunan,Mereka dihukum dengan azab neraka secara langsung,Mereka diberi peluang untuk menjalani ujian selanjutnya di syurga
101602001,Apa pengajaran yang dapat diambil dari kisah Nabi Adam dan Hawa?,Pentingnya taat kepada perintah Allah,Bahawa manusia tidak boleh dipercayai,Bahawa Iblis adalah musuh utama manusia dan harus diwaspadai,Berpegang teguh pada prinsip-prinsip keadilan
011702101,Mengapa kaum yang mempersenda Rasul dan Kitab dikatakan akan binasa?,Mereka menolak dan mengolok-olok peringatan tentang tauhid dan hari pembalasan,Mereka terlalu sibuk dengan urusan dunia,Mereka memberi perhatian kepada akhirat,Mereka tidak insaf ketika masih hidup
021702101,"""Dan apakah orang-orang yang kafir tidak mengetahui bahawasanya langit dan bumi itu keduanya dahulu adalah suatu yang padu, kemudian Kami pisahkan antara keduanya Dan dari air Kami jadikan segala sesuatu yang hidup Maka mengapakah mereka tiada juga beriman?”Mengapa Allah menegur orang-orang kafir dalam ayat 30 Surah Al-Anbiyaa'?",Kerana mereka tidak beriman kepada Allah walaupun melihat kebesaranNya dalam ciptaanNya,Kerana mereka tidak mengetahui bahawa langit dan bumi itu asalnya bersatu,Kerana mereka mengatakan bahawa mereka adalah ilah selain daripada Allah,Kerana mereka tidak mengambil iktibar daripada kejadian alam semesta
031702101,Apakah sifat-sifat orang yang bertaqwa yang dapat dicontohi?,Mereka takut kepada Allah walaupun tidak melihat-Nya,Mereka tidak takut kepada Allah,Mereka hanya takut kepada Allah semasa di khalayak ramai,Mereka takut kepada Allah hanya semasa kiamat
041702101,"Katakanlah (wahai Muhamma: ""Sesungguhnya aku hanyalah memberi amaran kepada kamu dengan wahyu (Al-Quran yang diturunkan Allah kepadaku); dan sudah tentu orang-orang yang pekak tidak dapat mendengar seruan apabila mereka diberi amaran, (maka janganlah kamu menjadi pekak kerana azab Tuhan amatlah berat)Tentang siapakah ayat 45 Surah Al-Anbiyaa’ berbicara?",Orang-orang kafir,Para Malaikat,Orang-orang beriman,Kaum Thamud
051702101,Apakah jawapan Nabi Ibrahim kepada kaumnya apabila mereka mempersoalkan dakwahnya terhadap berhala-berhala?,"""Adakah kamu datang kepada kami dengan sungguh-sungguh atau kah kamu termasuk orang-orang yang bermain-main?""","""Kamu dan bapa-bapamu berada dalam kesesatan yang nyata""","""Sesungguhnya Tuhan kamu ialah Tuhan langit dan bumi yang telah menciptakannya""","""Aku akan melakukan rancangan terhadap berhala-berhalamu sesudah kamu pergi meninggalkannya"""
061702101,Apakah yang dijanjikan oleh Nabi Ibrahim terhadap berhala-berhala itu?,Akan dirancang sesuatu yang menakutkan terhadap berhala-berhalamu itu,Akan dibangunkan sebuah kuil yang lebih megah daripada berhala-berhala itu,Akan dibuat patung-patung yang lebih baik sebagai gantinya,Akan dijadikan berhala-berhala itu sebagai pemujaan yang lebih sempurna
071702101,Apakah tindakan yang diambil oleh kaum Nabi Ibrahim setelah menolak dakwahnya?,Mereka merancang untuk membakar Nabi Ibrahim,Mereka mencari jalan untuk berunding,Mereka meminta nasihat dari tokoh-tokoh agama lain,Semua adalah benar
081702101,Apa yang dilakukan Allah untuk menyelamatkan Nabi Ibrahim dari api?,Allah memerintahkan api untuk menjadi sejuk dan aman,Allah mengirimkan malaikat untuk menyelamatkan baginda,Nabi Ibrahim dibantu oleh penduduk setempat,Semua adalah benar
091702101,Apakah nasib akhir kaum Nabi Luth yang mendustakan ayat-ayat Allah?,Mereka tenggelam dalam banjir bersama,Mereka diampuni,Mereka dijadikan pemimpin,Mereka diberi kesenangan
101702101,Apakah kelebihan Nabi Sulaiman yang disebutkan dalam Surah Al-Anbiyaa'?,Menundukkan angin yang berhembus dengan perintahnya,Pemberian pemahaman tentang hukum,Kemampuan membuat baju besi,Mengubah tongkat menjadi ular
011702201,Apa yang dilarang ketika mengerjakan Haji?,Menyembah berhala,Tawaf di sekeliling Kaabah,Berbicara dengan orang lain,Berdoa kepada Allah
021702201,Apakah yang tidak termasuk perlakuan ketika menunaikan ibadah Haji?,Membayar fidyah untuk menggantikan tawaf jika tidak mampu,Menyempurnakan tawaf di sekeliling Kaabah,Menghilangkan kotoran dari badan,Menjalankan sa'i di antara Safa dan Marwah
031702201,Apa yang diajar oleh Allah kepada Nabi Ibrahim tentang Baitullah?,Tidak melakukan syirik di Kaabah dan membersihkannya,Membina Kaabah dengan batu-batu yang baru,Menjadikan Kaabah pusat perdagangan,Membuat patung-patung di sekitar Kaabah
041702201,Apakah tujuan utama ibadah korban yang diperintahkan oleh Allah?,Untuk memperingati peristiwa sejarah,Untuk memuaskan nafsu daging manusia,Untuk menunjukkan keberanian dan kekuatan manusia,"Semua binatang ternak adalah haram dimakan, kecuali yang dinyatakan halal"
051702201,Apakah manfaat yang dinyatakan dalam Surah Hajj mengenai binatang korban?, Ada manfaat seperti susu dan kenderaan sepanjang waktu,Hanya boleh ditunggangi sepanjang perjalanan ke Mekah,Boleh dipakai untuk pertarungan di jalan Allah sahaja,Menjadi kewajiban untuk disembelih di Baitullah selepas Haji
061702201,Apa yang benar-benar dicari Allah dari ibadah korban?,Ketakwaan dan keikhlasan hati manusia,Daging dan darah binatang korban, Kesempurnaan tata cara penyembelihan,Hubungan antara umat Islam yang baik
071702201,Mengapa Allah menegaskan bahawa ilmu-Nya mencakupi segala-galanya?,Untuk menunjukkan betapa besar dan luasnya ilmu-Nya,Untuk mengingatkan manusia agar tidak melakukan maksiat,Untuk menyuruh manusia kembali ke jalan yang benar,Untuk mengingatkan manusia agar tidak berbuat zalim
081702201,Apa hukuman yang diancamkan oleh Allah kepada orang-orang yang melakukan syirik?,Mereka akan dimasukkan ke dalam neraka,Mereka akan diberi petunjuk,Mereka akan dimasukkan ke dalam surga,Mereka akan mendapat bala yang besar
091702201,Apakah tindakan yang ditekankan sebagai bahagian daripada ibadah wajib?,Melakukan rukuk dan sujud,Menyantuni fakir miskin,Berpuasa sepanjang tahun,Berzikir sepanjang hari
101702201,"Apa yang telah Allah perintahkan agar umatnya lakukan untuk mendapatkan kekuatan dalam menunaikan tanggungjawab terhadap agama?",Mengerjakan solat dan mengeluarkan zakat,Berzikir,Memperbanyak amalan sedekah,Memperdalam ilmu agama
011802301,Apakah maksud Al-Mu'minun?,Orang-Orang Beriman,Kepada Allah kami berserah,Perintah Tuhan,Penawar Hati
021802301,Apakah isu utama yang dibincangkan dalam Surah Al-Mu'minun?,Sifat-Sifat Orang Mukmin,Kehidupan Nabi Musa,Kelebihan syurga,Sejarah Kaum 'Ad
031802301,Apakah amalan yang menjadi ciri orang mukmin?,Memelihara kehormatan dari yang haram,Meninggalkan solat,Mengabaikan amanah,Melampaui batas dalam hubungan suami-isteri
041802301,Apakah tujuan mengeluarkan zakat?,Membersihkan hati dari sifat-sifat buruk,Untuk menambahkan kekayaan,Untuk dipandang tinggi oleh masyarakat,Supaya dipuji oleh masyarakat
051802301,"Apa yang dimaksudkan dengan ""khusyuk di dalam solat"" dalam Surah Al-Mu'minun?",Fokus dan khusyuk hati yang mendalam di dalam solat,Gerakan fizikal yang aktif semasa solat,Melakukan solat secara sambil lewa,Tidak memahami makna solat secara keseluruhan
061802301,Apakah pesanan utama yang disampaikan oleh Nabi Nuh kepada kaumnya?,Beriman kepada Allah sahaja,Berbuat baik kepada sesama manusia,Menjadi lebih kaya dan berjaya dalam kehidupan dunia,Mengikuti adat dan tradisi nenek moyang
071802301,Apa yang Allah janjikan untuk orang-orang yang beriman?,Kesempurnaan kebahagiaan di akhirat dan memperoleh syurga,Kekayaan dan kemewahan di dunia ini,Kekuasaan dan kemuliaan di dunia ini,Keselamatan daripada bala bencana di dunia ini
081802301,Apa kelebihan pokok zaitun yang disebutkan dalam Surah Al-Mu'minun?,Minyak yang bermanfaat untuk makanan dan perubatan,Buah yang dapat dimakan secara mentah,Kayu yang berkualiti untuk pembinaan rumah,Daun yang boleh digunakan sebagai bahan makanan untuk ternakan
091802301,Apakah yang telah dinyatakan tentang reaksi kaum Nabi Nuh terhadap dakwah baginda?,Mereka menuduh Nabi Nuh sebagai rasul palsu dan menolak dakwahnya,Mereka mengakui kebenaran dan menerima Islam,Mereka mengajukan pertanyaan dan mencari pemahaman,Mereka mempercayai Nabi Nuh as
101802301,Apakah tindakan Nabi Nuh as setelah diberitahu oleh Allah untuk membangun bahtera?,Membina bahtera di bawah petunjuk Allah,Membuat doa kepada Allah untuk membanjiri kaum yang kafir,Memasukkan semua orang ke dalam bahtera tanpa terkecuali,Membuat bahtera dengan bantuan kaumnya
011802401,Apakah hukuman yang diberikan kepada penzina yang belum berkahwin?,Rotan seratus kali,Tiada hukuman,Penjara,Pengasingan selama setahun
021802401,Apakah hukuman yang dikenakan kepada orang yang menuduh perempuan baik berzina tanpa empat orang saksi?,Disebat lapan puluh kali,Dibuang dari negara,Dipenjarakan selama 10 tahun,Diberi peringatan
031802401,Apakah maksud hukum qazf dalam undang-undang Islam?,Hukuman bagi menuduh zina tanpa bukti yang cukup,Hukuman bagi mencuri,Hukuman bagi merompak,Hukuman bagi berzina
041802401,Apakah yang dimaksudkan dengan li’an dalam Islam?,Prosedur hukuman bagi penuduh zina,Konsep pernikahan poligami,Proses keadilan dalam kes perceraian,Prosedur untuk menyelesaikan pertikaian antara suami dan isteri
051802401,Bagaimana seorang isteri boleh mempertahankan diri jika dituduh berzina oleh suaminya?,Dengan bersumpah empat kali atas nama Allah bahawa suaminya itu pembohong, Dengan mencari empat orang saksi yang menyaksikan ketiadaan perbuatan zina,Dengan berdiam diri dan menerima tuduhan itu tanpa membuat pembelaan,Dengan melarikan diri dari rumah dan menyembunyikan diri
061802401,Mengapa Allah mengajar umat Islam untuk meminta izin sebelum memasuki rumah orang lain?,Untuk menjaga maruah dan keselamatan ahli rumah,Untuk menjatuhkan maruah dan keselamatan ahli rumah,Untuk tidak menghormati tuan rumah dan ahli keluarganya,Untuk disayangi masyarakat
071802401,Apakah tindakan yang disyorkan jika tidak mendapat izin untuk masuk ke dalam rumah seseorang setelah meminta sebanyak tiga kali?,Kembali dan meninggalkan rumah tersebut,Memasuki rumah tanpa izin,Menunggu sebentar dan memasuki rumah setelah itu,Terus masuk tanpa memberikan salam
081802401,Mengapa wanita tidak dibenarkan memukulkan kakinya agar diketahui perhiasan yang mereka sembunyikan?,Agar mereka terjaga kesucian dan kehormatan diri,Agar mereka dipandang mulia oleh masyarakat,Agar menarik perhatian lelaki lain,Agar memecahbelahkan keharmonian dalam masyarakat
091802401,Siapakah yang dibenarkan melihat perhiasan wanita berdasarkan Surah an-Nur?,Ahli keluarga mahram,Suami sahaja,Bapa sahaja,Wanita musyrik
101802401,"Siapakah yang disebut dalam Surah an-Nur sebagai lelaki yang tidak dilalaikan oleh perniagaan dan jual beli dari mengingati Allah, serta mendirikan solat dan membayarkan zakat?","Orang yang tidak terlibat dalam perniagaan dan jual beli, tetapi mengingati Allah, mendirikan solat, dan membayarkan zakat",Orang yang sibuk dengan urusan dunia,Orang yang sentiasa beribadah di masjid,Orang yang takut kepada Hari Kiamat
011902501,Apakah yang dimaksudkan dengan al-Furqan?,Al-Furqan bermaksud pembeza antara hak dan batil,Al-Furqan merujuk kepada Nabi Muhammad,Al-Furqan merujuk kepada kitab-kitab terdahulu,Al-Furqan adalah nama bagi satu tempat
021902501,Apa yang disebutkan sebagai tindakan syirik dalam Surah Al-Furqan?,Mengambil ilah selain Allah,Memuja Nabi dan para wali,Menerima berkat dari Allah,Mencipta sesuatu dari tiada
031902501,Bagaimanakah keadaan orang-orang kafir pada hari Kiamat menurut Surah Al-Furqan?,Mereka akan menghadapi hari yang sukar dan penuh kesukaran,Mereka akan diberi pahala yang besar,Mereka akan menyesal atas dosa-dosa mereka,Mereka akan merasakan kelegaan dan kesejahteraan
041902501,Apa yang akan dilakukan Allah terhadap amalan orang-orang kafir pada hari kiamat?,Membuat amalan mereka seperti debu yang berterbangan,Menerima amalan mereka,Memaafkan mereka yang tidak bertaubat,Menganugerahkan ganjaran kepada amalan mereka
051902501,"Apakah yang dimaksudkan dengan ""hawa nafsu"" dalam Surah al-Furqan?",Kepentingan diri sendiri yang melawan ajaran Allah,Kepentingan dunia,Kepentingan agama,Kepentingan orang lain
061902501,Apakah respons golongan musyrikin Mekah apabila melihat Nabi Muhammad SAW?,Mereka menjadikan baginda sebagai bahan ejekan,Mereka memuji dan menghormati baginda,Mereka segera memeluk Islam,Mereka berasa insaf
071902501,"Apa yang dimaksudkan dengan ""jihad""?",Berdakwah dengan ilmu dan Al-Quran,Perang dengan pedang,Menyerang kota-kota musuh,Memerangi orang kafir tanpa sebab
081902501,"Berikut adalah ciri-ciri orang kafir yang disebutkan dalam Surah Al-Furqan, kecuali:",Mereka menolak kebenaran dan beriman kepada Allah,Mereka menolong syaitan dalam berbuat durhaka terhadap Tuhannya,Mereka menyembah selain Allah yang tidak memberi manfaat atau mudharat,Mereka bersikap degil dan tetap ingin menyembah selain Allah
091902501,Apakah sifat-sifat hamba yang baik yang disebutkan dalam ayat-ayat 61-67 Surah al-Furqan?,"Berjalan dengan rendah diri, bercakap dengan lemah lembut, beribadah di malam hari, berbelanja secara sederhana","Berjalan dengan angkuh dan bangga, bercakap dengan kasar kepada orang jahil, beribadah di malam hari, tidak memikirkan azab neraka","Berjalan dengan sombong, bercakap dengan sombong, beribadah di siang hari, berbelanja secara boros","Berjalan dengan rendah diri, bercakap dengan kasar kepada orang jahil, beribadah di malam hari, berbelanja secara boros"
101902501,Berikut adalah kategori dosa yang besar kecuali:,Melihat kepada bukan mahram,Mempersekutukan Allah,Membunuh jiwa yang diharamkan,Berzina
011902601,"Mengapa Nabi Muhammad SAW berasa risau sehingga menyebabkan baginda jatuh sakit?",Kerana risau terhadap nasib umatnya yang ingkar,Kerana tekanan politik dari penguasa Mekah,Kerana berasa penat menyampaikan dakwah,Kerana ketidakpercayaan terhadap wahyu yang diterimanya
021902601,Mengapa Allah tidak mengabulkan permintaan Musyrikin Mekah untuk mukjizat yang mereka inginkan?,Kerana Allah ingin menguji keimanan mereka,Kerana Musyrikin Mekah tidak dapat diselamatkan lagi,Kerana Allah tidak ingin menghukum mereka dengan azab,Kerana mukjizat tidak lagi diperlukan dalam zaman tersebut
031902601,Apa yang diminta oleh Allah kepada Nabi Musa dalam Surah asy-Syu’araa?,Untuk berdakwah kepada bangsa yang zalim,Untuk membenci bangsa yang zalim,Untuk menyerang Firaun dan pengikutnya,Untuk meninggalkan tugas dakwahnya
041902601,Bagaimana reaksi Firaun terhadap dakwah Nabi Musa?,Dia menolak dan menunjukkan keangkuhan,Dia mendengarkan dengan hati terbuka,Dia segera memeluk Islam,Dia meminta maaf dan memohon petunjuk
051902601,Apakah reaksi Firaun terhadap orang-orang yang beriman kepada Nabi Musa sebelum mendapat izin darinya?,Dia menuduh Nabi Musa sebagai pengajar sihir mereka,Dia segera memeluk Islam,Dia memberi penghargaan kepada mereka,Dia merasa gembira dan bersyukur
061902601,Bagaimana Allah menyelamatkan Nabi Musa dan Bani Israil dari Firaun?,Dengan membelah laut untuk mereka melintas,Dengan membuat mereka terbang,Dengan menyembunyikan mereka di tempat yang aman,Ular melindungi mereka
071902601,Apa yang ditanya oleh Nabi Ibrahim kepada bapanya dan kaumnya?,Apakah yang kamu sembah?,Apakah yang kamu inginkan?,Apakah yang kamu harapkan daripada Allah?,Apakah yang kamu lakukan di rumah?
081902601,Apakah jawapan umat Nabi Ibrahim apabila ditanya tentang apa yang mereka sembah?,Mereka menyembah berhala-berhala,Mereka menyembah Allah semata-mata,Mereka menyembah Nabi Ibrahim,Mereka tidak menjawab pertanyaan tersebut
091902601,Apa hujah utama Nabi Ibrahim kepada kaumnya?,Berhala-berhala tidak mendengar doa mereka,Mereka mengikuti tradisi nenek moyang mereka,Berhala-berhala memberi manfaat dan mudarat,Amalan mereka adalah akibat ketidaktahuan
101902601,Apa yang menjadi keinginan utama Nabi Ibrahim dalam doanya kepada Allah?,Pengampunan dosa pada hari kiamat,Kekayaan dan kekuasaan yang besar,Ketenangan hidup,Kesejahteraan dan kebahagiaan di dunia
011902701,Mengapakah semut-semut diperintahkan untuk masuk ke dalam sarang mereka ketika tentera nabi Sulaiman mendekati?,Agar tidak terganggu oleh kehadiran tentera,Agar terhindar dari hujan,Agar mendapatkan makanan,Agar terlindung daripada serangan musuh
021902701,Apa yang diberikan kepada Nabi Sulaiman sebagai kelebihan istimewa?,Kemampuan untuk berbicara dengan binatang,Kekuatan fizikal yang luar biasa,Kekayaan harta benda yang melimpah ruah,Kebolehan untuk meramal masa depan
031902701,Apa pelajaran yang Nabi Sulaiman dapati dari kisah semut?,Pentingnya bersyukur atas nikmat Allah,Kekuatan dalam persatuan dan kerjasama,Kehidupan yang teratur dan terancang,Keperluan untuk mendengar nasihat dari makhluk lain
041902701,Apa yang menyebabkan kaum Thamud berpecah menjadi dua golongan?,Perbezaan pendapat mengenai tauhid,Perselisihan tentang pembahagian harta,Konflik politik antara keluarga,Perbalahan mengenai sistem pemerintahan
051902701,Apa yang dijanjikan oleh kaum yang berniat membunuh Nabi Saleh?,Mereka akan menuding jari kepada orang lain untuk melepaskan diri,Mereka akan mengakui perbuatannya kepada keluarga Nabi Saleh,Mereka akan membela diri dengan senjata lengkap,Mereka akan meminta ampun kepada Allah
061902701,Apa yang disebutkan oleh Nabi Saleh kepada kaumnya saat mereka bersumpah untuk membunuhnya?,Baginda mengingatkan akan datangnya azab dari Allah,Baginda mengajak mereka untuk berdamai dan berunding,Baginda menjanjikan pertolongan dari Allah,Baginda menyarankan agar mereka meninggalkan perbuatan buruk
071902701,Apa yang dilakukan kaum Thamud terhadap unta mukjizat yang diutus oleh Nabi Saleh?,Mereka menyembelihnya sebagai tindakan pembangkangan,Mereka memeliharanya sebagai tanda keajaiban,Mereka menghormatinya sebagai haiwan suci,Mereka menggunakan unta tersebut untuk membawa pesan perdamaian
081902701,Mengapa rumah-rumah kaum Thamud runtuh ranap?,Mereka melakukan perbuatan zalim menyebabkan kemurkaan Allah,Mereka tidak memperbaiki rumah mereka,Mereka dihancurkan oleh musuh dari luar,Mereka mematuhi perintah Allah
091902701,Apa yang menjadi sebab utama kehancuran kaum Thamud?,Mereka menolak keras ajaran nabi mereka,Mereka berpecah belah dan terlibat dalam peperangan,Mereka mengabaikan kewajiban mereka terhadap unta-unta mukjizat,Mereka terlibat dalam perbuatan zina dan maksiat lainnya
101902701,Siapa yang diselamatkan oleh Allah dari kehancuran kaum Thamud?,Mereka yang beriman dan bertaqwa,Mereka yang tidak percaya kepada Allah,Mereka yang melakukan perbuatan zalim,Mereka yang bergabung dengan kaum Thamud
012002801,Apakah tindakan Firaun terhadap penduduk Mesir?,Menyembelih anak-anak lelaki mereka dan membiarkan hidup anak perempuan mereka,Membuat mereka menjadi pemimpin,Menindas mereka dan membiarkan hidup anak perempuan mereka,Memecahkan mereka menjadi berbagai kelompok
022002801,Apa yang Allah hendakkan untuk orang-orang yang tertindas di bumi?,Memberi balasan yang baik kepada mereka di akhirat,Membuat mereka menjadi pemimpin,Menjadikan mereka kaya raya,Memberikan mereka kekuasaan di dunia
032002801,Mengapa Firaun dan tenteranya tidak membunuh terus Nabi Musa ketika beliau masih bayi?,Mereka ingin memeliharanya sebagai anak angkat,Isteri Firaun berasa kasihan terhadap bayi tersebut,Mereka menyedari siapa bayi tersebut,Mereka berharap bayi tersebut dapat memberi kebahagiaan kepada mereka
042002801,Apakah alasan Allah menghalang Musa dari menyusu kepada perempuan - perempuan yang mahu menyusui sebelumnya?,Allah ingin nabi Musa hanya menyusu dengan susu ibunya,Allah ingin menguji kesabaran ibu nabi Musa,Allah ingin memastikan nabi Musa mendapat susu yang berkualiti,Allah ingin menunjukkan kuasa-Nya kepada Firaun
